line,city,link,lat,lon,country
"<th scope=""row""><a href=""/wiki/Shanghai"" title=""Shanghai"">Shanghai</a></th>",Shanghai,/wiki/Shanghai,31.22861,121.47472,China
"<th scope=""row""><a href=""/wiki/Karachi"" title=""Karachi"">Karachi</a></th>",Karachi,/wiki/Karachi,24.86,67.01, Pakistan
"<th scope=""row""><a href=""/wiki/Beijing"" title=""Beijing"">Beijing</a></th>",Beijing,/wiki/Beijing,39.917,116.383,NA
"<th scope=""row""><a href=""/wiki/Delhi"" title=""Delhi"">Delhi</a></th>",Delhi,/wiki/Delhi,28.61,77.23,NA
"<th scope=""row""><a href=""/wiki/Lagos"" title=""Lagos"">Lagos</a></th>",Lagos,/wiki/Lagos,6.455027,3.384082,Nigeria
"<th scope=""row""><a href=""/wiki/Dhaka"" title=""Dhaka"">Dhaka</a></th>",Dhaka,/wiki/Dhaka,23.7,90.367,Bangladesh
"<th scope=""row""><a href=""/wiki/Guangzhou"" title=""Guangzhou"">Guangzhou</a></th>",Guangzhou,/wiki/Guangzhou,23.133,113.267,NA
"<th scope=""row""><a href=""/wiki/Istanbul"" title=""Istanbul"">Istanbul</a></th>",Istanbul,/wiki/Istanbul,41.01361,28.955,Turkey
"<th scope=""row""><a href=""/wiki/Tokyo"" title=""Tokyo"">Tokyo</a></th>",Tokyo,/wiki/Tokyo,35.683,139.683,Japan
"<th scope=""row""><a href=""/wiki/Mumbai"" title=""Mumbai"">Mumbai</a></th>",Mumbai,/wiki/Mumbai,18.975,72.82583,India
"<th scope=""row""><a href=""/wiki/Moscow"" title=""Moscow"">Moscow</a></th>",Moscow,/wiki/Moscow,55.75,37.617,Russia
"<th scope=""row""><a href=""/wiki/S%C3%A3o_Paulo"" title=""São Paulo"">São Paulo</a></th>",São Paulo,/wiki/S%C3%A3o_Paulo,-23.55,-46.633,NA
"<th scope=""row""><a href=""/wiki/Shenzhen"" title=""Shenzhen"">Shenzhen</a></th>",Shenzhen,/wiki/Shenzhen,22.55,114.1,China
"<th scope=""row""><a href=""/wiki/Suzhou"" title=""Suzhou"">Suzhou</a></th>",Suzhou,/wiki/Suzhou,31.3,120.6,China
"<th scope=""row""><a href=""/wiki/Lahore"" title=""Lahore"">Lahore</a></th>",Lahore,/wiki/Lahore,31.54972,74.34361,Pakistan
"<th scope=""row""><a href=""/wiki/Cairo"" title=""Cairo"">Cairo</a></th>",Cairo,/wiki/Cairo,30.04444,31.23583,Egypt
"<th scope=""row""><a href=""/wiki/Kinshasa"" title=""Kinshasa"">Kinshasa</a></th>",Kinshasa,/wiki/Kinshasa,-4.325,15.32222,Democratic Republic of the Congo
"<th scope=""row""><a href=""/wiki/Jakarta"" title=""Jakarta"">Jakarta</a></th>",Jakarta,/wiki/Jakarta,-6.2,106.817,Indonesia
"<th scope=""row""><a href=""/wiki/Seoul"" title=""Seoul"">Seoul</a></th>",Seoul,/wiki/Seoul,37.567,126.967,South Korea[1]
"<th scope=""row""><a href=""/wiki/Mexico_City"" title=""Mexico City"">Mexico City</a></th>",Mexico City,/wiki/Mexico_City,19.433,-99.133,Mexico
"<th scope=""row""><a href=""/wiki/Lima"" title=""Lima"">Lima</a></th>",Lima,/wiki/Lima,-12.04333,-77.02833,NA
"<th scope=""row""><a href=""/wiki/London"" title=""London"">London</a></th>",London,/wiki/London,51.50722,-0.1275,NA
"<th scope=""row""><a href=""/wiki/Xi%27an"" title=""Xi'an"">Xi'an</a></th>",Xi'an,/wiki/Xi%27an,34.267,108.9,People's Republic of China
"<th scope=""row""><a href=""/wiki/New_York_City"" title=""New York City"">New York City</a></th>",New York City,/wiki/New_York_City,40.7127,-74.0059,NA
"<th scope=""row""><a href=""/wiki/Bengaluru"" class=""mw-redirect"" title=""Bengaluru"">Bengaluru</a></th>",Bengaluru,/wiki/Bengaluru,12.967,77.567,India
"<th scope=""row""><a href=""/wiki/Bangkok"" title=""Bangkok"">Bangkok</a></th>",Bangkok,/wiki/Bangkok,13.75,100.467,Thailand
"<th scope=""row""><a href=""/wiki/Nanjing"" title=""Nanjing"">Nanjing</a></th>",Nanjing,/wiki/Nanjing,32.05,118.767,People's Republic of China
"<th scope=""row""><a href=""/wiki/Dongguan"" title=""Dongguan"">Dongguan</a></th>",Dongguan,/wiki/Dongguan,23.033,113.717,China
"<th scope=""row""><a href=""/wiki/Chongqing"" title=""Chongqing"">Chongqing</a></th>",Chongqing,/wiki/Chongqing,29.55833,106.56667,China
"<th scope=""row""><a href=""/wiki/Tehran"" title=""Tehran"">Tehran</a></th>",Tehran,/wiki/Tehran,35.68917,51.38889,NA
"<th scope=""row""><a href=""/wiki/Quanzhou"" title=""Quanzhou"">Quanzhou</a></th>",Quanzhou,/wiki/Quanzhou,24.917,118.583,People's Republic of China
"<th scope=""row""><a href=""/wiki/Shenyang"" title=""Shenyang"">Shenyang</a></th>",Shenyang,/wiki/Shenyang,41.8,123.4,People's Republic of China
"<th scope=""row""><a href=""/wiki/Bogot%C3%A1"" title=""Bogotá"">Bogotá</a></th>",Bogotá,/wiki/Bogot%C3%A1,4.71111,-74.07222,Colombia
"<th scope=""row""><a href=""/wiki/Hyderabad"" title=""Hyderabad"">Hyderabad</a></th>",Hyderabad,/wiki/Hyderabad,17.37,78.48,India
"<th scope=""row""><a href=""/wiki/Ho_Chi_Minh_City"" title=""Ho Chi Minh City"">Ho Chi Minh City</a></th>",Ho Chi Minh City,/wiki/Ho_Chi_Minh_City,10.776889,106.700806, Vietnam
"<th scope=""row""><a href=""/wiki/Hong_Kong"" title=""Hong Kong"">Hong Kong</a></th>",Hong Kong,/wiki/Hong_Kong,NA,NA,NA
"<th scope=""row""><a href=""/wiki/Baghdad"" title=""Baghdad"">Baghdad</a></th>",Baghdad,/wiki/Baghdad,33.333,44.383,Iraq
"<th scope=""row""><a href=""/wiki/Fuzhou"" title=""Fuzhou"">Fuzhou</a></th>",Fuzhou,/wiki/Fuzhou,26.07611,119.30639,China
"<th scope=""row""><a href=""/wiki/Chennai"" title=""Chennai"">Chennai</a></th>",Chennai,/wiki/Chennai,13.083,80.267,India
"<th scope=""row""><a href=""/wiki/Changsha"" title=""Changsha"">Changsha</a></th>",Changsha,/wiki/Changsha,28.19611,112.97222,China
"<th scope=""row""><a href=""/wiki/Wuhan"" title=""Wuhan"">Wuhan</a></th>",Wuhan,/wiki/Wuhan,30.583,114.283,China
"<th scope=""row""><a href=""/wiki/Tianjin"" title=""Tianjin"">Tianjin</a></th>",Tianjin,/wiki/Tianjin,39.133,117.183,People's Republic of China
"<th scope=""row""><a href=""/wiki/Hanoi"" title=""Hanoi"">Hanoi</a></th>",Hanoi,/wiki/Hanoi,21.028472,105.854167,Vietnam
"<th scope=""row""><a href=""/wiki/Faisalabad"" title=""Faisalabad"">Faisalabad</a></th>",Faisalabad,/wiki/Faisalabad,31.41667,73.09111,Pakistan
"<th scope=""row""><a href=""/wiki/Rio_de_Janeiro"" title=""Rio de Janeiro"">Rio de Janeiro</a></th>",Rio de Janeiro,/wiki/Rio_de_Janeiro,-22.90833,-43.19639,Brazil
"<th scope=""row""><a href=""/wiki/Qingdao"" title=""Qingdao"">Qingdao</a></th>",Qingdao,/wiki/Qingdao,36.067,120.383,NA
"<th scope=""row""><a href=""/wiki/Foshan"" title=""Foshan"">Foshan</a></th>",Foshan,/wiki/Foshan,23.01667,113.11667,China
"<th scope=""row""><a href=""/wiki/Zunyi"" title=""Zunyi"">Zunyi</a></th>",Zunyi,/wiki/Zunyi,27.683,106.9,People's Republic of China
"<th scope=""row""><a href=""/wiki/Santiago"" title=""Santiago"">Santiago</a></th>",Santiago,/wiki/Santiago,-33.45,-70.667,NA
"<th scope=""row""><a href=""/wiki/Riyadh"" title=""Riyadh"">Riyadh</a></th>",Riyadh,/wiki/Riyadh,24.633,46.717,Saudi Arabia
"<th scope=""row""><a href=""/wiki/Ahmedabad"" title=""Ahmedabad"">Ahmedabad</a></th>",Ahmedabad,/wiki/Ahmedabad,23.03,72.58,India
"<th scope=""row""><a href=""/wiki/Singapore"" title=""Singapore"">Singapore</a></th>",Singapore,/wiki/Singapore,NA,NA,NA
"<th scope=""row""><a href=""/wiki/Shantou"" title=""Shantou"">Shantou</a></th>",Shantou,/wiki/Shantou,23.35,116.667,China
"<th scope=""row""><a href=""/wiki/Ankara"" title=""Ankara"">Ankara</a></th>",Ankara,/wiki/Ankara,39.933,32.867,NA
"<th scope=""row""><a href=""/wiki/Yangon"" title=""Yangon"">Yangon</a></th>",Yangon,/wiki/Yangon,16.85,96.183,Myanmar
"<th scope=""row""><a href=""/wiki/Saint_Petersburg"" title=""Saint Petersburg"">Saint Petersburg</a></th>",Saint Petersburg,/wiki/Saint_Petersburg,59.95,30.3,Russia
"<th scope=""row""><a href=""/wiki/Casablanca"" title=""Casablanca"">Casablanca</a></th>",Casablanca,/wiki/Casablanca,33.533,-7.583,NA
"<th scope=""row""><a href=""/wiki/Abidjan"" title=""Abidjan"">Abidjan</a></th>",Abidjan,/wiki/Abidjan,5.317,-4.033,Ivory Coast
"<th scope=""row""><a href=""/wiki/Chengdu"" title=""Chengdu"">Chengdu</a></th>",Chengdu,/wiki/Chengdu,30.65861,104.06472,NA
"<th scope=""row""><a href=""/wiki/Alexandria"" title=""Alexandria"">Alexandria</a></th>",Alexandria,/wiki/Alexandria,31.2,29.917,Egypt
"<th scope=""row""><a href=""/wiki/Kolkata"" title=""Kolkata"">Kolkata</a></th>",Kolkata,/wiki/Kolkata,22.567,88.367,India
"<th scope=""row""><a href=""/wiki/Surat"" title=""Surat"">Surat</a></th>",Surat,/wiki/Surat,21.17024,72.83106083,India
"<th scope=""row""><a href=""/wiki/Johannesburg"" title=""Johannesburg"">Johannesburg</a></th>",Johannesburg,/wiki/Johannesburg,-26.20444,28.04556,South Africa
"<th scope=""row""><a href=""/wiki/Dar_es_Salaam"" title=""Dar es Salaam"">Dar es Salaam</a></th>",Dar es Salaam,/wiki/Dar_es_Salaam,-6.8,39.283,Tanzania
"<th scope=""row""><a href=""/wiki/Shijiazhuang"" title=""Shijiazhuang"">Shijiazhuang</a></th>",Shijiazhuang,/wiki/Shijiazhuang,38.067,114.483,China
"<th scope=""row""><a href=""/wiki/Harbin"" title=""Harbin"">Harbin</a></th>",Harbin,/wiki/Harbin,45.75,126.633,China
"<th scope=""row""><a href=""/wiki/Giza"" title=""Giza"">Giza</a></th>",Giza,/wiki/Giza,30.017,31.217,Egypt
"<th scope=""row""><a href=""/wiki/%C4%B0zmir"" title=""İzmir"">İzmir</a></th>",İzmir,/wiki/%C4%B0zmir,38.42,27.14,NA
"<th scope=""row""><a href=""/wiki/Zhengzhou"" title=""Zhengzhou"">Zhengzhou</a></th>",Zhengzhou,/wiki/Zhengzhou,34.767,113.65,China
"<th scope=""row""><a href=""/wiki/New_Taipei_City"" title=""New Taipei City"">New Taipei City</a></th>",New Taipei City,/wiki/New_Taipei_City,25.01111,121.44583,Republic of China (Taiwan)
"<th scope=""row""><a href=""/wiki/Los_Angeles"" title=""Los Angeles"">Los Angeles</a></th>",Los Angeles,/wiki/Los_Angeles,34.05,-118.25,NA
"<th scope=""row""><a href=""/wiki/Changchun"" title=""Changchun"">Changchun</a></th>",Changchun,/wiki/Changchun,43.9,125.2,China
"<th scope=""row""><a href=""/wiki/Cape_Town"" title=""Cape Town"">Cape Town</a></th>",Cape Town,/wiki/Cape_Town,-33.92528,18.42389,South Africa
"<th scope=""row""><a href=""/wiki/Yokohama"" title=""Yokohama"">Yokohama</a></th>",Yokohama,/wiki/Yokohama,35.44417,139.63806,Japan
