line,city,link,lat,lon,country
"<th scope=""row""><a href=""/wiki/Basra"" title=""Basra"">Basra</a></th>",Basra,/wiki/Basra,30.5,47.817,Iraq
"<th scope=""row""><a href=""/wiki/Toronto"" title=""Toronto"">Toronto</a></th>",Toronto,/wiki/Toronto,43.7,-79.4,Canada
"<th scope=""row""><a href=""/wiki/Taipei"" title=""Taipei"">Taipei</a></th>",Taipei,/wiki/Taipei,25.033,121.633,NA
"<th scope=""row""><a href=""/wiki/Gujranwala"" title=""Gujranwala"">Gujranwala</a></th>",Gujranwala,/wiki/Gujranwala,32.15667,74.19,Pakistan
"<th scope=""row""><a href=""/wiki/Chicago"" title=""Chicago"">Chicago</a></th>",Chicago,/wiki/Chicago,41.83694,-87.68472,NA
"<th scope=""row""><a href=""/wiki/Osaka"" title=""Osaka"">Osaka</a></th>",Osaka,/wiki/Osaka,34.69389,135.50222,NA
"<th scope=""row""><a href=""/wiki/Quito"" title=""Quito"">Quito</a></th>",Quito,/wiki/Quito,-0.233,-78.517,NA
"<th scope=""row""><a href=""/wiki/Chaozhou"" title=""Chaozhou"">Chaozhou</a></th>",Chaozhou,/wiki/Chaozhou,23.667,116.633,People's Republic of China
"<th scope=""row""><a href=""/wiki/Dubai"" title=""Dubai"">Dubai</a></th>",Dubai,/wiki/Dubai,25.26306,55.29722,United Arab Emirates
"<th scope=""row""><a href=""/wiki/Fortaleza"" title=""Fortaleza"">Fortaleza</a></th>",Fortaleza,/wiki/Fortaleza,-3.71833,-38.54278,NA
"<th scope=""row""><a href=""/wiki/Chittagong"" title=""Chittagong"">Chittagong</a></th>",Chittagong,/wiki/Chittagong,22.367,91.8,Bangladesh
"<th scope=""row""><a href=""/wiki/Bandung"" title=""Bandung"">Bandung</a></th>",Bandung,/wiki/Bandung,-6.912,107.6097,NA
"<th scope=""row""><a href=""/wiki/Managua"" title=""Managua"">Managua</a></th>",Managua,/wiki/Managua,12.13639,-86.25139,Nicaragua
"<th scope=""row""><a href=""/wiki/Bras%C3%ADlia"" title=""Brasília"">Brasília</a></th>",Brasília,/wiki/Bras%C3%ADlia,-15.79389,-47.88278,NA
"<th scope=""row""><a href=""/wiki/Belo_Horizonte"" title=""Belo Horizonte"">Belo Horizonte</a></th>",Belo Horizonte,/wiki/Belo_Horizonte,-19.917,-43.933,Brazil
"<th scope=""row""><a href=""/wiki/Daegu"" title=""Daegu"">Daegu</a></th>",Daegu,/wiki/Daegu,35.867,128.6,NA
